JAHR_STA	KANTON	B003_GESCHLECHT_KBEZ	age_group	JAHRESFRANCHISE_E	JAHRESFRANCHISE_K	ANZAHL_VERS_MONATE	ANZAHL_VERS
2020	AG	m	0-18	0	200	799.668007876128	78.18965979944915
2020	AG	m	0-18	300	0	38385.710866680296	3468.6513473358937
2020	AG	m	0-18	1500	400	218.08392486058176	NA
2020	AG	m	0-18	2500	600	526.0865373051166	45.57561001647264
2020	AG	m	19-25	300	0	5181.459089221731	511.2059071660042
2020	AG	m	19-25	500	0	461.50316806405783	42.858596206177026
2020	AG	m	19-25	1000	0	543.9653085749596	56.530468326527625
2020	AG	m	19-25	1500	400	808.7678643833101	86.1402266160585
2020	AG	m	19-25	2000	0	335.64252056255935	NA
2020	AG	m	19-25	2500	600	4019.2223945438864	405.4115104698576
2020	AG	m	26-35	300	0	3965.7144218732415	369.3179476498626
2020	AG	m	26-35	500	0	629.502779052779	56.62022902537137
2020	AG	m	26-35	1000	0	486.7926286954433	45.674203081056476
2020	AG	m	26-35	1500	400	1068.722299028933	103.08595163049176
2020	AG	m	26-35	2000	0	610.3050132803619	58.62826150143519
2020	AG	m	26-35	2500	600	7751.463502940312	767.1037913379259
2020	AG	m	26-35	300	0	4620.746653997823	428.53084535337985
2020	AG	m	26-35	500	0	730.1271005126833	74.66049551870674
2020	AG	m	26-35	1000	0	680.8483219404519	67.11849514301866
2020	AG	m	26-35	1500	400	1368.591625765115	117.65905156638473
2020	AG	m	26-35	2000	0	1063.9836600694805	93.98374953493476
2020	AG	m	26-35	2500	600	9223.071541111618	889.2122382470407
2020	AG	m	36-45	300	0	4358.336286572814	389.5071057835594
2020	AG	m	36-45	500	0	1416.064413651824	122.12907397188246
2020	AG	m	36-45	1000	0	1103.4648194420338	100.12232997221872
2020	AG	m	36-45	1500	400	1786.2145024873316	157.6239663111046
2020	AG	m	36-45	2000	0	1299.9331186894328	113.27008891757578
2020	AG	m	36-45	2500	600	8875.780099327787	831.2402927321382
2020	AG	m	36-45	300	0	3895.1896105499563	352.2749896789901
2020	AG	m	36-45	500	0	1370.505795383826	123.09686954738572
2020	AG	m	36-45	1000	0	773.764202279523	66.69469262706116
2020	AG	m	36-45	1500	400	1717.1302292450519	157.7675166046247
